Date,Team,Acquired,Relinquished,Notes
2008-11-28,Spurs,,• Jacque Vaughn,placed on IL
2008-11-28,Spurs,• (William) Tony Parker,,activated from IL
2008-11-28,Thunder,,• Robert Swift,placed on IL with back injury
2008-11-28,Thunder,• Desmond Mason,,activated from IL
2008-11-29,Bobcats,,• Ryan Hollins,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2008-11-29,Bobcats,,• Shannon Brown,placed on IL
2008-11-29,Bobcats,• Dwayne Jones,,activated from IL
2008-11-29,Bobcats,• Jared Dudley,,activated from IL
2008-11-29,Bucks,,• Austin Croshere,placed on IL
2008-11-29,Bucks,• Michael Redd,,activated from IL
2008-11-29,Clippers,,• Chris Kaman,placed on IL with strained arch in left foot
2008-11-29,Clippers,• Brian Skinner,,activated from IL
2008-11-29,Grizzlies,,• Quinton Ross,placed on IL
2008-11-29,Grizzlies,• Antoine Walker,,activated from IL
2008-11-29,Magic,,• Mickael Pietrus,placed on IL with torn ligament in right thumb
2008-11-29,Timberwolves,,• Calvin Booth,placed on IL
2008-11-29,Timberwolves,• Brian Cardinal,,activated from IL
2008-11-29,Magic,• Jameer Nelson,,activated from IL
2008-11-30,Nets,,• Keyon Dooling,placed on IL
2008-11-30,Nets,• Chris Douglas-Roberts,,activated from IL
2008-11-30,Pistons,,• Walter Sharpe,placed on IL
2008-11-30,Pistons,• Alex Acker,,activated from IL
2008-12-01,Timberwolves,,• Corey Brewer,placed on IL with torn ACL in right knee (out for season)
2008-12-01,Timberwolves,• Kevin Ollie,,activated from IL
2008-12-01,Warriors,,• Kelenna Azubuike,placed on IL with sprained left foot
2008-12-01,Warriors,• Marcus Williams (D.),,activated from IL
2008-12-02,Jazz,,• Matt Harpring,placed on IL with strained lower back
2008-12-02,Jazz,• Brevin Knight,,activated from IL
2008-12-02,Kings,,• John Salmons,placed on IL with strained groin
2008-12-02,Kings,• Kevin Martin,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-02,Lakers,,• Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,placed on IL
2008-12-02,Lakers,• Chris Mihm,,activated from IL
2008-12-02,Nets,,• Maurice Ager,placed on IL
2008-12-02,Nets,• Keyon Dooling,,activated from IL
2008-12-02,Pacers,,• Jeff Foster,placed on IL with sore back
2008-12-02,Pacers,• Travis Diener,,activated from IL
2008-12-02,Spurs,,• Anthony Tolliver,placed on IL
2008-12-02,Spurs,• Jacque Vaughn,,activated from IL
2008-12-03,Bobcats,,• Nazr Mohammed,placed on IL
2008-12-03,Bobcats,• Shannon Brown,,activated from IL
2008-12-03,Bucks,,• Charlie Bell,placed on IL with sore right ankle
2008-12-03,Bucks,• Andrew Bogut,,activated from IL
2008-12-03,Celtics,,• Tony Allen,placed on IL with sprained right ankle
2008-12-03,Celtics,• Sam Cassell,,activated from IL
2008-12-03,Hawks,,• Othello Hunter,placed on IL
2008-12-03,Hawks,• Josh Smith,,activated from IL
2008-12-03,Heat,,• Mark Blount,placed on IL
2008-12-03,Heat,• Shaun Livingston,,activated from IL
2008-12-03,Hornets,,• Melvin Ely,placed on IL
2008-12-03,Hornets,• Morris Peterson,,activated from IL
2008-12-03,Magic,,• Jameer Nelson,placed on IL with strained right hip flexor
2008-12-03,Magic,• Keith Bogans,,activated from IL
2008-12-03,Pacers,,• Maceo Baston,placed on IL
2008-12-03,Pacers,• Jeff Foster,,activated from IL
2008-12-03,Rockets,,• Brent Barry,placed on IL with strained right calf
 Date, Team, Acquired, Relinquished, Notes
2008-12-03,Rockets,• Steve Francis,,activated from IL
2008-12-03,Timberwolves,,• Rodney Carney,placed on IL
2008-12-03,Timberwolves,• Calvin Booth,,activated from IL
2008-12-05,76ers,,• Elton Brand,placed on IL with strained right hamstring
2008-12-05,76ers,• Donyell Marshall,,activated from IL
2008-12-05,Bobcats,,• Shannon Brown,placed on IL
2008-12-05,Bobcats,• Nazr Mohammed,,activated from IL
2008-12-05,Grizzlies,,• Antoine Walker,placed on IL
2008-12-05,Grizzlies,• Quinton Ross,,activated from IL
2008-12-05,Hawks,,• Acie Law,placed on IL with flu
2008-12-05,Hawks,• Thomas Gardner,,activated from IL
2008-12-05,Jazz,,• Kyrylo Fesenko,placed on IL with strained lower back
2008-12-05,Jazz,• Matt Harpring,,activated from IL
2008-12-05,Knicks,,• Cuttino Mobley,placed on IL for tests on heart
2008-12-05,Knicks,• Jared Jeffries,,activated from IL
2008-12-05,Magic,,• Marcin Gortat,placed on IL
2008-12-05,Magic,• Jameer Nelson,,activated from IL
2008-12-05,Pacers,,• Travis Diener,placed on IL with sore left foot
2008-12-05,Pacers,• Maceo Baston,,activated from IL
2008-12-05,Timberwolves,,• Calvin Booth,placed on IL
2008-12-05,Timberwolves,,• Mike Miller,placed on IL with sprained right ankle
2008-12-05,Timberwolves,• Mark Madsen,,activated from IL
2008-12-05,Timberwolves,• Rodney Carney,,activated from IL
2008-12-05,Warriors,,• Marcus Williams (D.),placed on IL
2008-12-05,Warriors,• Kelenna Azubuike,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-06,Bobcats,,• Nazr Mohammed,placed on IL
2008-12-06,Bobcats,• Shannon Brown,,activated from IL
2008-12-06,Hawks,,• Thomas Gardner,placed on IL
2008-12-06,Hawks,• Acie Law,,activated from IL
2008-12-06,Heat,,• Chris Quinn,placed on IL with sprained left ankle
2008-12-06,Heat,• Mark Blount,,activated from IL
2008-12-06,Kings,,• Quincy Douby,placed on IL
2008-12-06,Kings,• John Salmons,,activated from IL
2008-12-07,Blazers,,• Ike Diogu,placed on IL
2008-12-07,Blazers,• Martell Webster,,activated from IL
2008-12-07,Celtics,,• Sam Cassell,placed on IL
2008-12-07,Celtics,• Tony Allen,,activated from IL
2008-12-07,Lakers,,• Luke Walton,placed on IL with flu
2008-12-07,Lakers,• Sun Yue,,activated from IL
2008-12-08,Bobcats,• Nazr Mohammed,,activated from IL
2008-12-08,Magic,• Marcin Gortat,,activated from IL
2008-12-08,Warriors,,• Anthony Randolph,placed on IL with hand injury
2008-12-08,Warriors,• Marcus Williams (D.),,activated from IL
2008-12-09,Blazers,,• Martell Webster,placed on IL with stress fracture in left foot
2008-12-09,Blazers,• Ike Diogu,,activated from IL
2008-12-09,Bucks,,• Malik Allen,placed on IL with rib injury
2008-12-09,Bucks,• Austin Croshere,,activated from IL
2008-12-09,Kings,,• Kevin Martin,placed on IL with left ankle injury
2008-12-09,Kings,• Quincy Douby,,activated from IL
2008-12-09,Lakers,,• Sun Yue,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-09,Lakers,• Luke Walton,,activated from IL
2008-12-10,76ers,,• Kareem Rush,placed on IL
2008-12-10,76ers,• Elton Brand,,activated from IL
2008-12-10,Cavaliers,,• Daniel Gibson,placed on IL with sprained big toe
2008-12-10,Cavaliers,• Jawad Williams,,activated from IL
2008-12-10,Grizzlies,• Antoine Walker,,activated from IL
2008-12-10,Warriors,,• Brandan Wright,placed on IL with flu
2008-12-10,Warriors,• Anthony Randolph,,activated from IL
2008-12-10,Nuggets,,• Cheikh Samb,placed on IL
2008-12-11,Bobcats,,• Boris Diaw,placed on IL
2008-12-11,Bobcats,,• Raja Bell,placed on IL
2008-12-11,Bobcats,,• Sean Singletary,placed on IL
2008-12-11,Bobcats,• Ryan Hollins,,activated from IL
2008-12-12,Blazers,,• Travis Outlaw,placed on IL with bruised tailbone
2008-12-12,Blazers,• Shavlik Randolph,,activated from IL
2008-12-12,Cavaliers,,• Zydrunas Ilgauskas,placed on IL with sprained left ankle
2008-12-12,Cavaliers,• Lorenzen Wright,,activated from IL
2008-12-12,Heat,,• Michael Beasley,placed on IL with flu
2008-12-12,Heat,• Chris Quinn,,activated from IL
2008-12-12,Hornets,,• Tyson Chandler,placed on IL with stiff neck
2008-12-12,Hornets,• Melvin Ely,,activated from IL
2008-12-12,Nets,,• Jarvis Hayes,placed on IL with strained right hamstring
2008-12-12,Nets,,• Stromile Swift,placed on IL with sprained right ankle
2008-12-12,Nets,• Josh Boone,,activated from IL
2008-12-12,Nets,• Maurice Ager,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-12,Rockets,,• Ron Artest / Metta World Peace,placed on IL with sprained right ankle
2008-12-12,Rockets,• Tracy McGrady,,activated from IL
2008-12-12,Timberwolves,,• Mark Madsen,placed on IL
2008-12-12,Timberwolves,• Mike Miller,,activated from IL
2008-12-12,Warriors,,• Corey Maggette,placed on IL with strained right hamstring
2008-12-12,Warriors,• Brandan Wright,,activated from IL
2008-12-12,Magic,,• Jeremy Richardson,placed on IL
2008-12-13,76ers,,• Theo Ratliff,placed on IL
2008-12-13,76ers,• Kareem Rush,,activated from IL
2008-12-13,Bobcats,,• Juwan Howard,placed on IL
2008-12-13,Bobcats,,• Sean May,placed on IL with right knee tendinitis
2008-12-13,Bobcats,• Boris Diaw,,activated from IL
2008-12-13,Bobcats,• Raja Bell,,activated from IL
2008-12-13,Bucks,,• Dan Gadzuric,placed on IL
2008-12-13,Bucks,• Charlie Bell,,activated from IL
2008-12-13,Jazz,• Kyrylo Fesenko,,activated from IL
2008-12-13,Magic,,• Dwight Howard,placed on IL with left knee injury
2008-12-13,Magic,• Jeremy Richardson,,activated from IL
2008-12-13,Thunder,,• Chris Wilcox,placed on IL with dislocated left ring finger
2008-12-13,Thunder,• Steven Hill,,activated from IL
2008-12-14,Heat,• Michael Beasley,,activated from IL
2008-12-14,Timberwolves,,• Brian Cardinal,placed on IL
2008-12-14,Timberwolves,• Mark Madsen,,activated from IL
2008-12-15,Bucks,,• Francisco Elson,placed on IL
2008-12-15,Bucks,• Dan Gadzuric,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-15,Celtics,• Sam Cassell,,activated from IL
2008-12-15,Heat,,• Shaun Livingston,placed on IL
2008-12-15,Jazz,,• Kyrylo Fesenko,placed on IL with back injury
2008-12-15,Mavericks,,• James Singleton,placed on IL
2008-12-15,Mavericks,• Josh Howard,,activated from IL
2008-12-15,Raptors,,• Hassan Adams,placed on IL
2008-12-15,Timberwolves,,• Mark Madsen,placed on IL
2008-12-15,Timberwolves,• Brian Cardinal,,activated from IL
2008-12-15,Wizards,,• Etan Thomas,placed on IL with ankle injury
2008-12-15,Wizards,• Oleksiy Pecherov,,activated from IL
2008-12-16,Blazers,,• Shavlik Randolph,placed on IL
2008-12-16,Blazers,• Travis Outlaw,,activated from IL
2008-12-16,Bobcats,,• Shannon Brown,placed on IL
2008-12-16,Bobcats,• Juwan Howard,,activated from IL
2008-12-16,Bobcats,• Sean Singletary,,activated from IL
2008-12-16,Hornets,,• Julian Wright,placed on IL
2008-12-16,Hornets,• Tyson Chandler,,activated from IL
2008-12-16,Lakers,,• Pau Gasol,placed on IL with strep throat
2008-12-16,Lakers,• Sun Yue,,activated from IL
2008-12-16,Rockets,,• Rafer Alston,placed on IL with hamstring injury
2008-12-16,Rockets,• Ron Artest / Metta World Peace,,activated from IL
2008-12-16,Thunder,,• Steven Hill,placed on IL
2008-12-16,Thunder,• Chris Wilcox,,activated from IL
2008-12-17,76ers,,• Donyell Marshall,placed on IL
2008-12-17,76ers,• Theo Ratliff,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-17,Celtics,,• Sam Cassell,placed on IL
2008-12-17,Hornets,,• Morris Peterson,placed on IL
2008-12-17,Hornets,,• Predrag Stojakovic / Peja Stojakovic,placed on IL with back spasms
2008-12-17,Hornets,• Julian Wright,,activated from IL
2008-12-17,Hornets,• Ryan Bowen,,activated from IL
2008-12-17,Mavericks,,• Gerald Green (b. 1986-01-26),placed on IL
2008-12-17,Mavericks,• James Singleton,,activated from IL
2008-12-17,Pacers,,• T.J. Ford,placed on IL with strained groin
2008-12-17,Pacers,,• Troy Murphy,placed on IL with stomach virus
2008-12-17,Pacers,• Travis Diener,,activated from IL
2008-12-17,Warriors,• DeMarcus Nelson,,activated from IL
2008-12-18,Magic,,• Jeremy Richardson,placed on IL
2008-12-18,Magic,• Dwight Howard,,activated from IL
2008-12-18,Warriors,,• Monta Ellis,placed on IL
2008-12-19,76ers,,• Elton Brand,placed on IL with separated right shoulder
2008-12-19,76ers,• Donyell Marshall,,activated from IL
2008-12-19,Bobcats,,• Sean Singletary,placed on IL
2008-12-19,Cavaliers,,• Lorenzen Wright,placed on IL
2008-12-19,Cavaliers,• Zydrunas Ilgauskas,,activated from IL
2008-12-19,Lakers,,• Sun Yue,placed on IL
2008-12-19,Lakers,• Pau Gasol,,activated from IL
2008-12-19,Mavericks,,• Antoine Wright,placed on IL
2008-12-19,Mavericks,• Gerald Green (b. 1986-01-26),,activated from IL
2008-12-19,Nets,,• Chris Douglas-Roberts,placed on IL
2008-12-19,Nets,,• Maurice Ager,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-19,Nets,,• Sean Williams,placed on IL
2008-12-19,Nets,• Eduardo Najera,,activated from IL
2008-12-19,Nets,• Jarvis Hayes,,activated from IL
2008-12-19,Nets,• Stromile Swift,,activated from IL
2008-12-19,Pacers,,• Marquis Daniels,placed on IL with viral infection
2008-12-19,Pacers,• T.J. Ford,,activated from IL
2008-12-19,Thunder,,• Mouhamed Sene / Saer Sene,placed on IL
2008-12-19,Thunder,• Steven Hill,,activated from IL
2008-12-19,Warriors,,• Stephen Jackson,placed on IL with sprained left hand
2008-12-19,Wizards,,• Oleksiy Pecherov,placed on IL
2008-12-19,Wizards,• Etan Thomas,,activated from IL
2008-12-20,Bobcats,,• Nazr Mohammed,placed on IL
2008-12-20,Bobcats,• Sean Singletary,,activated from IL
2008-12-20,Hornets,,• Julian Wright,placed on IL
2008-12-20,Hornets,• Morris Peterson,,activated from IL
2008-12-20,Lakers,,• Jordan Farmar,placed on IL with torn lateral meniscus in left knee
2008-12-20,Lakers,• Sun Yue,,activated from IL
2008-12-20,Magic,,• Adonal Foyle,placed on IL
2008-12-20,Magic,• Mickael Pietrus,,activated from IL
2008-12-20,Nets,• Chris Douglas-Roberts,,activated from IL
2008-12-20,Spurs,,• Fabricio Oberto,placed on IL with sore left foot
2008-12-20,Spurs,• Anthony Tolliver,,activated from IL
2008-12-20,Timberwolves,,• Brian Cardinal,placed on IL
2008-12-20,Timberwolves,• Mark Madsen,,activated from IL
2008-12-20,Nets,,• Bobby Simmons,placed on IL with scapula injury
 Date, Team, Acquired, Relinquished, Notes
2008-12-21,Cavaliers,,• Jawad Williams,placed on IL
2008-12-21,Cavaliers,• Daniel Gibson,,activated from IL
2008-12-21,Celtics,,• Glen Davis,placed on IL with concussion (suffered in car accident)
2008-12-21,Celtics,• Sam Cassell,,activated from IL
2008-12-22,Magic,• Adonal Foyle,,activated from IL
2008-12-22,Rockets,• Brent Barry,,activated from IL
2008-12-22,Spurs,,• Malik Hairston,placed on IL
2008-12-23,Bucks,,• Austin Croshere,placed on IL
2008-12-23,Bucks,• Malik Allen,,activated from IL
2008-12-23,Cavaliers,,• Darnell Jackson,placed on IL
2008-12-23,Cavaliers,• Lorenzen Wright,,activated from IL
2008-12-23,Hornets,,• Antonio Daniels,placed on IL with knee injury
2008-12-23,Hornets,• Julian Wright,,activated from IL
2008-12-23,Jazz,,• Mehmet Okur,placed on IL with back spasms
2008-12-23,Jazz,• Kyrylo Fesenko,,activated from IL
2008-12-23,Pacers,,• Troy Murphy,placed on IL with flu
2008-12-23,Pacers,• Marquis Daniels,,activated from IL
2008-12-23,Rockets,,• Joey Dorsey,placed on IL
2008-12-23,Rockets,• Rafer Alston,,activated from IL
2008-12-23,Thunder,,• Nick Collison,placed on IL with broken left thumb
2008-12-23,Thunder,• Mouhamed Sene / Saer Sene,,activated from IL
2008-12-23,Thunder,• Robert Swift,,activated from IL
2008-12-23,Timberwolves,,• Mike Miller,placed on IL with sprained left ankle
2008-12-23,Timberwolves,• Brian Cardinal,,activated from IL
2008-12-25,Celtics,• Glen Davis,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-26,Bobcats,,• Ryan Hollins,placed on IL
2008-12-26,Bobcats,• Nazr Mohammed,,activated from IL
2008-12-26,Celtics,,• Kendrick Perkins,placed on IL with left shoulder injury
2008-12-26,Celtics,• Sam Cassell,,activated from IL
2008-12-26,Hornets,,• Hilton Armstrong,placed on IL with sprained right thumb
2008-12-26,Hornets,• Antonio Daniels,,activated from IL
2008-12-26,Jazz,,• Paul Millsap,placed on IL with sprained ligament in left knee
2008-12-26,Jazz,• Jarron Collins,,activated from IL
2008-12-26,Nets,,• Stromile Swift,placed on IL
2008-12-26,Nets,• Bobby Simmons,,activated from IL
2008-12-26,Pacers,,• T.J. Ford,placed on IL with back spasms
2008-12-26,Pacers,• Troy Murphy,,activated from IL
2008-12-26,Rockets,,• Ron Artest / Metta World Peace,placed on IL with sprained right ankle
2008-12-26,Thunder,,• Steven Hill,placed on IL
2008-12-26,Thunder,• Robert Swift,,activated from IL
2008-12-26,Warriors,,• Jamal Crawford,placed on IL with strained left groin
2008-12-26,Warriors,• Stephen Jackson,,activated from IL
2008-12-27,Bucks,,• Charlie Bell,placed on IL with sore right knee
2008-12-27,Bucks,• Francisco Elson,,activated from IL
2008-12-27,Grizzlies,,• Darko Milicic,placed on IL with broken knuckle on right ring finger
2008-12-27,Magic,• Adonal Foyle,,activated from IL
2008-12-27,Pistons,,• Richard Hamilton,placed on IL with groin injury
2008-12-27,Pistons,• Alex Acker,,activated from IL
2008-12-27,Rockets,,• Tracy McGrady,placed on IL with sore left knee
2008-12-27,Rockets,• Ron Artest / Metta World Peace,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-27,Thunder,,• Johan Petro,placed on IL
2008-12-27,Thunder,• Steven Hill,,activated from IL
2008-12-28,Cavaliers,,• Wally Szczerbiak,placed on IL with bruised right knee
2008-12-28,Cavaliers,• Jawad Williams,,activated from IL
2008-12-28,Celtics,,• Sam Cassell,placed on IL
2008-12-28,Celtics,• Kendrick Perkins,,activated from IL
2008-12-28,Clippers,,• Mike Taylor,placed on IL with fractured right thumb
2008-12-28,Hornets,,• Julian Wright,placed on IL
2008-12-28,Hornets,,• Ryan Bowen,placed on IL
2008-12-28,Hornets,• Hilton Armstrong,,activated from IL
2008-12-28,Hornets,• Predrag Stojakovic / Peja Stojakovic,,activated from IL
2008-12-28,Warriors,,• Marcus Williams (D.),placed on IL
2008-12-28,Warriors,• Jamal Crawford,,activated from IL
2008-12-29,Jazz,,• Jarron Collins,placed on IL with elbow injury
2008-12-29,Jazz,• Mehmet Okur,,activated from IL
2008-12-29,Rockets,• Tracy McGrady,,activated from IL
2008-12-29,Thunder,,• Joe Smith (Leynard),placed on IL with sprained right knee
2008-12-29,Thunder,,• Steven Hill,placed on IL
2008-12-29,Thunder,• Johan Petro,,activated from IL
2008-12-29,Thunder,• Nick Collison,,activated from IL
2008-12-30,Blazers,,• Brandon Roy,placed on IL with strained hamstring
2008-12-30,Blazers,• Shavlik Randolph,,activated from IL
2008-12-30,Bobcats,,• Nazr Mohammed,placed on IL
2008-12-30,Bobcats,,• Raja Bell,placed on IL with strained groin
2008-12-30,Bobcats,• Ryan Hollins,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-12-30,Bobcats,• Shannon Brown,,activated from IL
2008-12-30,Bucks,,• Malik Allen,placed on IL with rib injury
2008-12-30,Bucks,• Charlie Bell,,activated from IL
2008-12-30,Kings,,• Spencer Hawes,placed on IL with abdominal strain
2008-12-30,Kings,• Kevin Martin,,activated from IL
2008-12-30,Mavericks,,• Shawne Williams,placed on IL
2008-12-30,Mavericks,• Gerald Green (b. 1986-01-26),,activated from IL
2008-12-30,Pacers,,• Maceo Baston,placed on IL
2008-12-30,Pacers,• T.J. Ford,,activated from IL
2008-12-30,Grizzlies,• Hamed Haddadi,,activated from IL
2008-12-31,Magic,,• Mickael Pietrus,placed on IL with broken right wrist
2008-12-31,Nets,,• Keyon Dooling,placed on IL
2008-12-31,Nets,• Maurice Ager,,activated from IL
2008-12-31,Raptors,,• Jermaine O'Neal,placed on IL with sore right knee (P) / flu (CBC)
2008-12-31,Raptors,• Hassan Adams,,activated from IL
2008-12-31,Rockets,,• Dikembe Mutombo,placed on IL
2008-12-31,Thunder,,• Nenad Krstic,placed on IL
2009-01-02,Bobcats,,• Ryan Hollins,placed on IL
2009-01-02,Bobcats,• Nazr Mohammed,,activated from IL
2009-01-02,Cavaliers,,• Jawad Williams,placed on IL
2009-01-02,Cavaliers,,• Zydrunas Ilgauskas,placed on IL with fractured bone in left ankle
2009-01-02,Cavaliers,• Lorenzen Wright,,activated from IL (P)
2009-01-02,Cavaliers,• Wally Szczerbiak,,activated from IL
2009-01-02,Hornets,,• Melvin Ely,placed on IL
2009-01-02,Hornets,• Ryan Bowen,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-01-02,Jazz,,• Kyrylo Fesenko,placed on IL
2009-01-02,Jazz,,• Morris Almond,placed on IL
2009-01-02,Jazz,• Jarron Collins,,activated from IL
2009-01-02,Jazz,• Paul Millsap,,activated from IL
2009-01-02,Kings,,• Shelden Williams,placed on IL
2009-01-02,Kings,• Kenny Thomas,,activated from IL
2009-01-02,Nets,,• Maurice Ager,placed on IL
2009-01-02,Nets,• Keyon Dooling,,activated from IL
2009-01-02,Spurs,,• Jacque Vaughn,placed on IL
2009-01-02,Spurs,• Fabricio Oberto,,activated from IL
2009-01-02,Suns,,• Dee Brown (b. 1984-08-17),placed on IL
2009-01-02,Timberwolves,,• Mark Madsen,placed on IL
2009-01-02,Timberwolves,• Mike Miller,,activated from IL
2009-01-02,Warriors,,• Brandan Wright,placed on IL with sprained left wrist
2009-01-02,Warriors,• Marcus Williams (D.),,activated from IL
2009-01-02,Wizards,,• DeShawn Stevenson,placed on IL with back injury
